filename, brick, null, other, rustication, siding, stucco,pred_ brick,pred_ null,pred_ other,pred_ rustication,pred_ siding,pred_ stucco
m-1011-L_jpg.rf.0d5f77fae7b2a22a83c402c5bb8bd243.jpg,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
m-568-L_jpg.rf.38fca298357ab827b4f0323d3a1ac4e9.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
m-3941-L_jpg.rf.4f10c19d9e8907660ea8304970718f56.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-2055-L_jpg.rf.bff325eb2b3b812f08b3cacb5d8680a1.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-180-L_jpg.rf.8ed1782e14eb3460020e394d0a48c501.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-2730-L_jpg.rf.becdc6060740f9b28207848b1cd4cc0d.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-65-L_jpg.rf.831ece8c09ef6a6aefbff96fbb3df9de.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-594-L_jpg.rf.6ad8fadce3cb3b11e7008a64ee492e45.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-3044-L_jpg.rf.ffcdae5619b55d68e39bc0442947314c.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-35-L_jpg.rf.167114fdf119fd3fd6bd4fd7460936b2.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-1245-L_jpg.rf.2aeca761963eda03b2e5a12f95cec4b1.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-208-L_jpg.rf.4b8594c572ef4763383b5b3b08295e57.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-4439-L_jpg.rf.d7d748d6ef9b4d126743e99b7b742f4a.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-157-L_jpg.rf.fc2b5dfdad0f57f3718e03b5b7441eab.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-4662-L_jpg.rf.01d1bf9350b4cead9a08d2f4062ac84f.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-2114-L_jpg.rf.a93285acee13f8ae40a73670ce1e99a3.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-3039-L_jpg.rf.db3121aaefb48939ab93e69859f2a414.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-1174-L_jpg.rf.4265f0fbf1f6f6f973ff336d23daecbf.jpg,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-2596-L_jpg.rf.38e6d674a9de212671db350ea28bd06e.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-3179-L_jpg.rf.fce32bdc96d7e993fe3e64cdf306ff52.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-4146-L_jpg.rf.20b6a1f25c37f3ae987491241cd917a4.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-244-L_jpg.rf.4e9c16b50d4f9bfdb8fedd9d0d2af46f.jpg,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
m-112-L_jpg.rf.cf31cd84d629d7fe0e6fb8de9d44295b.jpg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-3949-L_jpg.rf.da332cc6cbd2f2417bc325db14bca2b3.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-2536-L_jpg.rf.b18c731f2c4323271412d5b31adf1d26.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m-2882-L_jpg.rf.7d159220ef4f82cfe3009ad01ee2fd4d.jpg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
