filename, brick, null, other, rustication, stucco, wood,pred_ brick,pred_ null,pred_ other,pred_ rustication,pred_ stucco,pred_ wood
m-3803-76_jpg.rf.1260c21004ac742cf64ce95f35621f6d.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-3127-318_jpg.rf.9038140b41614b43c4eff6e8fbe74b47.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
m-3383-35_jpg.rf.2e219c66190aaa7c8fd4e436f179f039.jpg,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m-3560-288_jpg.rf.1895d964a2f60cdf5afb48a0588d7128.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-1054-18_jpg.rf.928772e0e5597079e85aef694a0ea0aa.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-3668-335_jpg.rf.4dd7a7e5ec13a48f4b3f660a88cdf3f2.jpg,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
m-1152-4_jpg.rf.b81a81e629d82b36d0ce91ea0cfcce93.jpg,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-3563-40_jpg.rf.2af83ffbcd35959bdf55abfbfe24fdc2.jpg,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-1184-335_jpg.rf.0a948cd9eef8af457ae03b5baf1d4789.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
m-1143-78_jpg.rf.94b03c653a5e6ecb1ff8c81b7ef2d16a.jpg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
m-3751-30_jpg.rf.06585c48a5cf05de93b3fa3df945e698.jpg,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
m-3716-52_jpg.rf.d8f69684dc60fd2f6c262bb728d5f6e7.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-3853-40_jpg.rf.3b1f7a7e3bfc6d2fb2aa640ade66f8af.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-6613-328_jpg.rf.28d70aba2f26e48b335fc6d603053531.jpg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
m-3701-72_jpg.rf.bad258fe5c243277c7afe25a936df222.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
m-3068-34_jpg.rf.1dcf126cbe9f1f00c2fc262bd27a3bc2.jpg,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
